SubType,Rent,Rooms,Area_m2,Zip,Lat,Lon,Floor,Year_Built,is_renovated,Balcony,Elevator,Parking,View,Fireplace,Child_Friendly,CableTV,New_Building,Minergie,Wheelchair
FLAT,1750.0,1.5,40.0,8620,47.324228899377,8.797811735287,2.0,1996.0,0,1,1,0,0,0,0,0,1,0,0
STUDIO,1380.0,1.0,42.0,8048,47.388774899377,8.492771734282,1.0,1996.0,0,0,1,0,1,0,0,0,0,0,0
FLAT,1880.0,3.5,80.0,8634,47.254659894372,8.773311736286,0.0,1972.0,1,0,0,0,0,0,0,0,0,0,0
FLAT,1529.0,4.5,82.0,8245,47.688784896374,8.648751734286,2.0,1996.0,0,1,0,0,1,0,0,0,0,0,0
FLAT,1785.0,4.0,81.0,8135,47.294309894371,8.537691734285,0.0,1960.0,1,1,0,0,0,0,0,1,0,0,0
FLAT,2000.0,4.5,109.0,8246,47.686324894372,8.654461736281,5.0,1977.0,1,0,1,1,0,0,0,1,0,0,0
FLAT,1838.0,3.5,88.0,8618,47.277604894372,8.719331739288,3.0,1986.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1228.0,1.5,31.0,8952,47.395785894371,8.426931734288,3.0,1996.0,0,0,0,1,0,0,0,0,0,0,0
FLAT,1590.0,4.5,87.0,8634,47.248154895373,8.771981734289,2.0,1973.0,1,1,0,0,1,0,0,0,0,0,0
FLAT,1105.0,1.5,40.0,8246,47.686324894372,8.654461736281,1.0,1977.0,1,0,1,1,0,0,0,1,0,0,0
FLAT,1730.0,1.5,40.0,8320,47.386334896374,8.746821734281,1.0,1996.0,1,0,0,1,1,0,0,0,0,0,0
FLAT,1690.0,1.5,33.0,8320,47.386334896374,8.746821734281,0.0,1996.0,1,0,0,1,1,0,0,0,0,0,0
FLAT,1369.0,1.5,34.0,8810,47.257754893379,8.588281734283,4.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1980.0,1.5,27.0,8057,47.405034898376,8.534321736286,3.0,2026.0,0,1,1,1,1,0,0,0,0,0,1
FLAT,1210.0,2.0,46.0,8153,47.448984895373,8.536031734281,0.0,1955.0,0,1,0,1,0,0,1,1,0,0,0
FLAT,1505.0,1.0,28.0,8006,47.382534894372,8.547961733283,3.0,1958.0,1,0,0,0,0,0,0,0,0,0,0
FLAT,1660.0,1.0,26.0,8037,47.391748890378,8.532531734281,1.0,1965.0,1,0,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1390.0,1.0,90.0,8053,47.357604899377,8.599311735283,2.0,1964.0,0,1,0,1,1,0,0,0,0,0,0
SINGLE_ROOM,1390.0,1.0,100.0,8053,47.359130896374,8.602871730284,0.0,1996.0,0,1,0,1,1,0,0,0,0,0,1
STUDIO,990.0,1.0,17.0,8630,47.259075899377,8.865211734282,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1938.0,2.5,52.0,8810,47.257754893379,8.588281734283,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1640.0,1.5,25.0,8032,47.366114899377,8.557311734286,4.0,1879.0,1,0,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1390.0,1.0,100.0,8053,47.357844898376,8.599781734287,0.0,1965.0,0,1,0,1,1,0,0,1,0,0,0
FLAT,1870.0,2.5,62.0,8045,47.357054898376,8.517471734288,4.0,1980.0,1,1,1,1,0,0,1,1,0,0,0
FLAT,1720.0,2.5,56.0,8634,47.257105895373,8.758711735288,0.0,2022.0,0,1,1,1,0,0,0,0,0,0,0
FLAT,1230.0,4.0,66.0,8052,47.424237890378,8.537591734282,1.0,1996.0,0,1,0,0,0,0,0,1,0,0,0
FLAT,1780.0,3.0,54.0,8052,47.423238895373,8.542121734285,0.0,1996.0,0,1,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1290.0,1.0,10.0,8045,47.353094898376,8.508131734289,4.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
